id,customer_message,historical_reply,labeled_intent,should_escalate,reply_quality_1to5,notes
29,How is my phone dying while plugged into the charger,@808827 This isn’t expected behavior and we'd like to help. We’ll work through fixing this together. Can you tell us what type of charger and iPhone you're using?,device_issue,False,2.0,Battery Issue while charging.
30,How i restore default setting,@698742 We've got just what you need! We recommend backing up prior to restoring defaults. See this article: __url__,general_inquiry,False,3.0,Asking how to restart settings
31,Vehicle system up to date. Checked that already,@697419 Let's continue the conversation in DM. __url__,software_update,False,2.0,System already up to date.
32,hello. I have turned on mobile data for music but it’s not streaming. Any idea why? __url__,@320419 Listening to music whenever you like is expected &amp; we're happy to help. DM us the iOS version installed to get started. __url__,general_inquiry,False,2.0,Music is not playing while data has been turned on
33,It’s been like this for a week or so.,"@134431 Got it, thanks. To help isolate the issue, can you tell us if you notice this issue when trying to connect to one, or multiple Wi-Fi networks that require a password?",out_of_scope,False,2.0,Problem ongoing for a week 
34,I hate it. The Text replacement crap doesn't help either.,"@519828 If Text Replacement isn't working for you, we'd like to investigate. Meet us in DM, we'll continue from there.",software_update,False,2.0,Text replacement not helping
35,"First of all, I have the update. what the fuck __url__",@488875 We are here to help. Have you tried the steps in the following article: __url__,software_update,True,2.0,Already has the update
36,iOS 11. It happens on anything with a keyboard consistently. As well as other seemingly random times.,"@289238 We have released 11.0.2, try installing this update and test if it resolves the issues. Don't forget to back up first!",software_update,False,3.0,Keyboard issue after iOS 11 update.
37,I got an one saying someone paid $400 for a yoga subscription on my apple acct. when I went to log in it said my acct was locked and asked for my social security number too. had to change my password bc I already put my login in :-( it looks just like __url__,@234819 This article may help: __url__ You can reach out with questions here: __url__,account_access,True,3.0,phishing + fraud + account locked
38,"Overnight my messages in my iPhones be have changed and are not recognising my contacts?? What’s going on 🤬 Please advise, this is ridiculous the amount of issues happening!","@142193 Thanks for reaching out. We'd like some additional information to help. Are the messages showing out of chronological order? Also, when you state your contacts aren't recognized are you missing contact information? Let us know the details in a DM and we'll continue. __url__",device_issue,True,2.0,Messages not recognizing contacts.
39,Please release a new update soon. My phone keeps freezing and I’ve hard reset about 5x yesterday 😞😭,"@582144 We want your iPhone to function normally. DM us the exact iOS version your iPhone is on currently, and we’ll help out. __url__",software_update,True,3.0,Asking for a software update
40,but with netflix i just can’t even open it because it loads and instantly crashes,@385665 Did you mean iOS 11.0.1 or 11.1 beta? We ask because the latest public iOS software version is 11.0.3.,software_update,False,2.0,Netflix crashes while opening
41,iOS 11.1 should never been released. So many bugs. The statusbar randomly disappears in Facebook app,@117460 We'd like to look into the trouble you're having. Does this only occur in the Facebook app?,complaint_escalation,True,2.0, The statusbar randomly disappears in Facebook app
42,", where can one report problems with regards to I0S11?",@612868 Hey there! Great question! We’d like to understand more about this situation. Please DM us some details and we’ll take it from there. __url__,general_inquiry,False,2.0,Asking where to report iOS problems.
43,iso11.0.3 all audio controls broke. Fix this 🙃,@212566 We're here for you. Can you explain your issue in more detail? __url__,software_update,False,2.0,After update all audio controls now working
44,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ the fuck is this?,@626527 Here’s what you can do to work around the issue until it’s fixed in a future software update: __url__,device_issue,False,2.0,keyboard issue
45,you need to do something about these fucking phones freezing every 30 secs I didn’t spend $800 for a brick,@725623 We can help! Which version of iOS are you experiencing this with? Find that in Settings &gt; General &gt; About and reply in DM. __url__,complaint_escalation,True,3.0,Frequent freezing complaint.
46,How do I️ stop this insanity? Typing an “I️” sometimes changes to this... or some other character. __url__,@258611 Here’s what you can do to work around the issue until it’s fixed in a future software update: __url__,software_update,True,4.0,Autocorrect issue after update.
47,Nope. needs to send a new update for this glitch....I️ ain’t havin it🙅🏾‍♀️,@461403 We've got your back. Follow us to DM for a closer look. __url__,out_of_scope,False,1.0,Fragment
48,Para cuando vais a arreglar que mi puto móvil escriba a la velocidad a la que tecleo,@179497 We offer support via Twitter in English. Get help in Spanish here: __url__ or join __url__,software_update,False,3.0,Typing speed issue after update.
49,Get your crap together what is this mess __url__,@410114 We'd like to help with this. DM us using the following link to get started: __url__,out_of_scope,False,1.0,Angry complaint with no specific issue.
50,"Dear , please fix all the hundreds of bugs iOS 11 has brought to my iPhone 7. Thanks. 🤗",@184348 We'll be glad to assist. Tell us more about what you're experiencing in a DM. __url__,complaint_escalation,True,2.0,Complaint about multiple iOS 11 bugs.
51,iOS 11.1.1 is not working good on iphone 5s ...phone got hang mostly.... do fix it asap or advice me what to do else.,@764695 We'd like to help! Send us a DM with the country you are located in to continue. __url__,software_update,False,2.0,Phone freezing after iOS 11.1.1 update.
52,"iOS 11 is horrific, crashes constantly and now I can't unlock my phone",@565244 We want to help. Please DM us more details on not being able to unlock your iPhone and what country you're in. We'll help there. __url__,complaint_escalation,True,2.0,Severe crashes and phone locked out.
53,my imessages won’t activate on my computer and my entire music library deleted from my phone! happy monday!! love u,"@791139 We'd like to help you with your Mac and iPhone. Which version of macOS are you using on your Mac, and which iOS version is on your iPhone. Let us know in DM. __url__",device_issue,False,2.0,iMessage and music library issues.
54,My contacts gone too‼️‼️‼️ I'm ready to fight wtf,"@299768 We'd like to understand more about this. DM us which country you're in, and we'll take a look. __url__",device_issue,True,3.0,Contacts disappeared after update.
55,"Why is every capitalized ""I"" a question mark? I ain't even update my phone...",@624070 Here’s what you can do to work around the issue until it’s fixed in a future software update: __url__,software_update,True,4.0,Keyboard/autocorrect issue.
56,Yeah that’s useless. iPhone 7+ shouldn’t drain nearly as fast as it has since the update. I wish I could go back.,"@664727 We still want to help you. DM us, and we'll look into what's going on deeper. __url__",complaint_escalation,True,2.0,Battery drain after update.
57,ne faite pas la mise a jour SIERRA le macbook s’ouvre encore moins vite. Et 2 fois il a fallu réinstaller,@624588 We offer support via Twitter in English. Contact us for help in your preferred language here: __url__,software_update,False,2.0,Mac slowdown after Sierra update.
58,", since the last IOS update, my phone battery is playing up. Can you please fix it? Thanks.",@556984 Battery life is important. We would be glad to take a look at this for you. Let us know via DM when the update was done. __url__,software_update,False,3.0,Battery issue after iOS update.
59,"Hi, I’m actually talking about the ability to say, delete a message on my mac and it deletes it everywhere through icloud.",@302963 Syncing messages would not delete the message from all devices.,data_privacy,False,3.0,sking about iCloud message syncing.
60,Why does it say shipping estimate to be 5-6 weeks for iphoneX ? #iPhoneX #IphoneXPreOrder #iphone,"@432281 Thank you for reaching out to us. We'd like to get you in touch with our Sales Support, see this link: __url__",order_delivery,False,3.0,iPhone X shipping estimate question.
61,I purchase something wrongly and i want to refund it how can i do that ?,@682308 We're here to help. You may be able to get this taken care of here: __url__,billing_refund,False,5.0,Refund request for accidental purchase.
62,why can’t I get a single one of my photos off iCloud??? __url__,@641748 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,device_issue,False,2.0,Unable to retrieve photos from iCloud.
63,"my iphone has been acting so glitchy the past week or two, might be IOS 11 or a trick to make me buy the 8... ‼️ coincidence",@192530 We will do everything we can to get things working as expected again. DM us to get started. __url__,device_issue,False,2.0,"iPhone glitching, possibly after iOS 11."
64,"The popular ones like Gap, BR etc",@455462 Do you get any errors when trying to unsubscribe? Let us know the details via DM. We can continue there. __url__,general_inquiry,False,2.0,Fragment referring to popular apps.
65,why is this happening i have a fresh High Sierra installed,@571608 Great video. Thanks for sharing. Let's help. Is this flash of multi-colors happening only when waking the Mac from sleep?,software_update,False,2.0,Issue after fresh High Sierra installation.
66,why is it so hard to get somebody on the phone?,@701607 We understand how important it is to get support as quickly as possible. You can use this website here to schedule a callback for yourself to reduce wait times: __url__ We can also help you here or point you in the right direction. What’s going on?,general_inquiry,False,3.0,Complaint about contacting phone support.
67,"my iphone 7 plus has all of a sudden stopped charging properly. It says it’s charging but after 10 hours it still hasn’t gone over 30%. I have cleaned the charging port and changed cables with no luck, please help! It’s ever since I updated to ios 11.1",@125990 We're here for you. Are you able to test another charging outlet? Have you tried restarting? Let us know.,device_issue,False,2.0,Charging problem after iOS 11.1 update.
68,Y’all this new update is annoying with the emojis. It keeps turning regular letters into question marks fix it pls __url__,@470175 Thanks for reaching out. Is this happening with multiple letters or just one? Let us know in DM. __url__,software_update,False,4.0,Keyboard/autocorrect issue after update.
69,if i dont get a free phone im suing. yall crashed my phone now its stuck on the apple log afrer dying. yall tryna crash people phones cause of an update i NEED DAT ASAP,@710401 We'd like to help. Follow up with us in DM. We'll take a closer look with you there. __url__,complaint_escalation,False,2.0,Phone stuck on Apple logo after update.
70,"It’s been super slow, my apps keep shutting down for no reason and it keeps saying “storage full” when I haven’t done anything different",@781743 Thanks for those details. Let's move to DM so we may better assist you. __url__,device_issue,False,2.0,"Phone is slow, apps closing, and storage issue."
71,what’s up with my battery dying fast after the iOS 11 update??????,@321620 We're here to help. Let's work together in DM. Please meet us there. __url__,software_update,False,2.0,Battery Drain After sowtware update
72,are you guys going to fix the glitch with the letter I️ or just pretend it’s not a problem 🤔,@501748 Here’s what you can do to work around the issue until it’s fixed in a future software update: __url__,software_update,True,3.0,fix the keyboard glitch
73,This happened to me a week or so ago. It seems the update reactivated the Background App Refresh. Once I turned it off it was fine.,@338204 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. __url__,software_update,False,2.0,Background App Refresh reactivated after update.
74,Trying to delete the iOS 11.0.3 but that's not happening even.,@579086 What happens when you try to delete the download?,software_update,False,2.0,Trying to delete the software update
75,This whole thing with typing “I️” is annoying af!!! 😤 fix it now!!!,@498862 Check out this article and DM us if you have questions: __url__ __url__,software_update,False,2.0,Keyboard issue
76,Having trouble with an iPhone ringtone I got from the iTunes Store. Who do I talk with for help? Thanks!,@461227 What kind of issue are you having? Let us know so we can help.,device_issue,False,2.0,having a trouble with iphone ringtone
77,Ya me too plz I can’t handle this battery drain it’s ridiculous i can’t turn on my cellular,@121497 Meet us in DM at the link below. We can help you with your battery life issue too! __url__,software_update,False,2.0,After update battery drain issue
78,"Dear , My phone has turned to complete 💩 since the recent updates. Thanks for that. I hate you. Sincerely, Every iPhone user",@529189 We'd like to learn more about what you're experiencing. DM us and let us know the details. __url__,software_update,False,2.0,He is facing some problems after the update
79,"Hello my iPhone appears gaussian blurred when viewing contacts, is this a new iOS 11.0.3 thing or just a glitch? #applehelp __url__",@698609 We'll assist in any way we can. Are you seeing any other apps that display like this?,device_issue,False,2.0,cantacts are blurred
80,Anyone with #iPhone6 have issue with calls dropping/not ringing through? Been going on for last 3 months. Not reliable.,@737240 We'll do all we can to assist. You mention it's been happening for three months. Did it start after an iOS update? What version are you currently running? Are you seeing Searching or No Service in the upper left when the calls drop?,device_issue,False,2.0,having a issue with calls dropping and not ringing
81,"C’mon , This new update keep changing my Letters To Question marks .. all we asked for was Group ft ! Nothing else",@596149 Thanks for reaching out. We have a workaround for this here: __url__ DM us if you still need help. __url__,software_update,False,2.0,After update letters are chamging to quetion marks
82,"Well…? Things’re are pretty whack, here, with my phone, apps, WiFi and everything.","@325678 We'd be happy to take a look into what's going. To start, can you DM us some more info on what you're experiencing? __url__",device_issue,False,2.0,"Multiple phone, app, and WiFi issues."
83,any idea when the #gps issues with #ios11.0.1 will be fixed? #iphone6,@432277 What type of GPS issues are you having? Let us know so we can help out.,software_update,False,3.0,GPS issue after iOS 11.0.1 update.
84,Not what I asked. Hard to describe in 160 char.,"@202812 No worries! For best assistance, please reach out to our Photos experts here: __url__",out_of_scope,False,1.0,Fragment
85,"hey guys! Touch ID suddenly stopped working. After restarting my phone, I can’t even add fingerprints anymore. __url__",@627844 Let's go through these steps: __url__ Let us know if those help.,device_issue,False,3.0,Touch id is not working after restarting the phone.
86,Hello yes what on earth is this and why won’t it go away __url__,@481879 We're here for you! Please DM us and we'll get started. __url__,out_of_scope,False,1.0,Fragment
87,"why does my phone keep freezing for 2 minutes at a time randomly about 3-4x a day, and why is spotify not showing up on my lock screen?",@435519 Is it freezing when you're doing something specific like working in an app or on a call? Do any other music apps show?,device_issue,False,2.0,Having a issue called 2 minutes freezing and spotify notification is not showing in lock screen
88,why doesnt my iPhone 8 let me play music when I connect to my car it says no file available It didn’t say that with my iPhone6,@436639 We're happy to help you enjoy your iPhone 8. Can you tell us which iOS version you are using please?,device_issue,False,2.0,Car music playback issue.
89,. my iPhone 6 sucks ass with the new update so thx for that. Almost rather have a samsung. #ass,@698201 That's not the experience we want you to have. Send us a DM letting us know more about what you are experiencing. __url__,software_update,False,2.0,Software update problem
90,Just deleted 2 years of conversations with by accident😭😭 anyway to get it back???,"@217614 If you have a recent backup, you can restore by following this article: __url__",general_inquiry,False,3.0,Asking how to recover his past 2 years message .
91,why can’t I send or receive pictures though text with non- iPhone users,@646871 We’d be happy to see what’s going on. Send us a DM and let us know what iOS version you are running. __url__,general_inquiry,False,3.0,He cant send or recieve the picture though Android users.
92,Wtf I️ can’t type the letter I️ without this box and other crap popping out,@464796 We'd love to assist. Send us a DM to get started. __url__,software_update,False,4.0,Keyboard/autocorrect issue after update.
93,Updated it &amp; it’s still freezing!!,"@197909 We appreciate you keeping us updated. Join us in DM using the link below, and we’ll go from there. __url__",software_update,False,3.0,After  Update Mobile is freezing
94,"Seriously , my 6S is in full meltdown mode. This is absurd.",@631962 We want to help. Please DM us more details on what exactly is happening with your iPhone and we'll continue there. __url__,complaint_escalation,True,1.0,Severe iPhone 6S malfunction.
95,I am disabled out of my iPad and is telling me to connect to iTunes. I am receiving an error code of 0xE000015. Please help I’m using PC iTunes 12.7.1.14 Saudi Arabia,@262668 We want to help you get back to enjoying your iPad. The following article contains steps for you to take regarding the error you've received: __url__ Feel free to reach out via DM if you need further assistance. __url__,device_issue,True,3.0,iPad disabled with iTunes error code.
96,"Please help, every time i switch on my phone it resends messages from like a year ago???","@326642 That's certainly unusual behavior, but we're committed to help. What app are the messages being sent from?",device_issue,False,2.0,Old messages resending after restart.
97,a sudden crushing sound in earphones while playing music or videos.Need to restart everytime. Iphone SE(10.3.3 14G60),"@541644 Please send us a DM, we're eager to investigate this further and get you listening to music and videos as expected. __url__",device_issue,False,2.0,Having a problem with music player
98,wassup with the iphones letter “I️” not working right?,@461643 We'd like to look further at this. Please DM us. __url__,software_update,False,4.0,Keyboard letter l is not working.
99,Fix this update 😤 my phone is really messed up because of this 🙄,@482972 Tell us what's happening with your iPhone and we'd be happy to work with you on solution.,software_update,False,3.0,Problem with software update.
100,it happens wen wifi is off in control centre and displays pop up with the networks it found on its own.,@256159 This can be expected behavior. Take a look here: __url__ Let's meet in DM and we can explain further. __url__,software_update,False,3.0,WiFi behavior after iOS 11 update.
101,It’s an iPhone 6S and it’s on the notification. It is only seen the iOS update,"@678364 We want to narrow this down as much as possible. If you 'Mark as Read' in the Mail app itself, will it actually mark the message as read?",out_of_scope,False,1.0,Fragment
102,Also needs to fix this ridiculous keyboard bug,"@704169 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1. For more info, check out: __url__",software_update,False,3.0,IOS update issue
103,iOS autocorrect doing weird things: I️ #fb FYI,@490776 We'd like to assist. Take a look at our article here assistance regarding this issue: __url__,software_update,False,4.0,Autocorrect issue after update.
104,I’ve done that. Still not working.,@624340 Thanks for reaching out and trying those steps. Please send us a DM. __url__,out_of_scope,False,1.0,Fragment
105,"High Sierra 10.13.1 Happens randomly as I move around in different programs. Sometimes if there is any stylization on text this also causes issues with pasting. Computer is a late 2015 mac book pro. If its just me let me know, but looks like an issue according to google search","@531982 Just to be clear, you're now having issues with High Sierra copy and paste? As in, the copied text does not retain its formatting? What applications are copying from and to?",software_update,False,2.0,Copy/paste formatting issue on High Sierra.
106,The new iPhone update stay turning on my WiFi bruh!!! 😡😤,"@188220 We want to help. With iOS 11, you can turn off Wi-Fi and Bluetooth in Settings. More information is here: __url__",software_update,False,4.0,WiFi turns back on after update.
107,any way to check the overall battery health of my iphone?,@130262 We would be glad to take a look at this for you. Reach out to us in DM. __url__,general_inquiry,False,1.0,How o check the battery Health
108,is there an official fix for the 11.0.3 battery issue? 😰😭😓,"@124882 If you're having issues with your iPhone battery life, we'd like to help. Update to iOS 11.1 &amp; let us know if that persists after.",software_update,False,2.0,Battery issue with IOS update
109,"Please advise can we save files and can see even we don't have internet, same like Android's file manager ?",@158507 Excellent question. You can see files without having internet if they are saved directly to the iPhone: __url__,general_inquiry,False,2.0,Save file even dont have an internet
110,happened multiple times over 3-4 weeks. even after restarting. can't seem to replicate the scenario though.,"@138172 Thanks for that info. To confirm, the issue is not happening now after restarting the iPhone?",out_of_scope,False,2.0,Intermittent issue that cannot be reproduced.
111,Please report as bug and attempt to replicate based on info provided. Already using latest software!,"@195274 Thank you for letting us know. So we can continue to troubleshoot, please send us a DM. __url__",general_inquiry,False,2.0,Request to report and reproduce a software bug.
112,Socorr... ja faz 1h que meu ifone travou e não sai dessa tela. Devo me preocupar? __url__,"@471169 Since our Twitter support is available in English, get help at __url__ or join __url__",device_issue,False,3.0,iPhone frozen on screen.
113,I’m gonna need to fix the problems with iMessage. It force closes almost every time I open it.,@289935 Let's work together to get this fixed. Is Messages the only app you're experiencing this issue with?,device_issue,False,2.0,iMessage force-closes repeatedly.
114,"Wtf? Ext. hard drive kicks my late-2016 13"" #MacBookPro off wifi. Any ideas, Twitterverse?",@573099 We'd like to look into this with you. DM us details about which macOS you're on and the external drive. We'll help there. __url__,device_issue,False,2.0,External hard drive causing WiFi issues.
115,"ever since upgrading to ios11 we getting disconnected from wifi, then says password incorrect! What is this bug?","@638628 That's certainly unexpected, but we'd like to help keep the Wi-Fi connected. Which device &amp; iOS version do you have?",software_update,False,2.0,WiFi disconnects and password error after iOS 11.
116,"Why the fuck had my Mac just logged itself out ? And why does my phone keep crashing also? And before you ask, they’re on latest versions of High Sierra and iOS11",@251120 We'd like to look into these issues in more detail with you. Join us in DM with specifics about what happens when your iPhone crashes and your Mac logs you out. We can gather more information there. __url__,complaint_escalation,False,2.0,Mac logout and iPhone crashes on latest versions.
117,I️ updated my phone and still see them question marks ... what’s tea ?,@473146 We're happy to help. Send us a DM by clicking on the link below. We'll continue there. __url__,device_issue,False,4.0,Keyboard issue persists after update.
118,feature request: iphone 5s UC: settings &gt; general &gt; sounds &gt; y is “change with buttons” NOT default=on? arg: public transport __url__,@397858 Thank you for getting in touch with us. Please leave feedback about this using this link: __url__,general_inquiry,False,3.0,Feature request for sound settings.
119,Ever since I updated my operating system to iOS 11 then my battery life is only lasting for few hours. What a F**K is going on 🍏,@582934 Making sure your battery lasts is important. We'd like to take a look at your battery usage in more details. Meet us in DM. __url__,software_update,False,3.0,After update battery is draining
120,who is getting fired for this “I️” fuck up?! Make sure you @ them so I️ can send them a million i’s! 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,@457785 Hi there. Let's work together to check a few things. Please meet us in a DM and we'll get started: __url__,complaint_escalation,True,2.0,Angry complaint about the I keyboard bug.
121,"5 voicemails and this blank screen. Plus super sticky, can’t navigate between the different buttons on the bottom. Also crashes every so often __url__","@233077 Great screenshot and additional information. Please send us a DM telling us which iPhone you have, the iOS version it's running, and the country you're located in. Also, let us know if there's any change after restarting with these steps: __url__ __url__",device_issue,True,2.0,Voicemail screen blank and crashing.
122,...disappointing...can't even recognise my postcode! Locked out of the most expensive piece of equipment i have ever bought!,@591624 We're eager to get some details about what's going on so you can get back into your device. What are we working with? DM us. __url__,account_access,False,2.0,Locked out due to postcode issue.
123,why is the “i️” not working on the iphone keyboard? 😭,@448084 We can help look into this with you. DM us and let us know what apps this happens with. __url__,device_issue,False,3.0,Keyboard issue.
124,"so yeah um, somehow all my photos and videos just disappeared from my phone????",@291821 We'd like to help! Can you tell us the version of iOS that is running on your device? Settings &gt; General &gt; About &gt; Version.,device_issue,False,2.0,Photos and videos disappeared.
125,System Overload? That’s a new Garage Band error. My machine is a 2012 i7 MacMini w/ 16 GB of RAM. I’m editing a podcast w/ 8 separate audio tracks. What the hell?,@686128 Thanks for reaching out. We'd love to get you to the right place for help with this. Contact our Garage Band support here: __url__,device_issue,False,2.0,GarageBand system overload issue.
126,New iPhone update has killed my phone battery life instantly. Hate the thought that do this on purpose.,"@291664 We're here to help, as that's not the experience we want for you. Let's join together and look into this issue via DM: __url__",software_update,False,3.0,After IOS 11  update battery is draining
127,How my phone went from 100% to 10% within an hour and all i did was buy an app.... PLS EXPLAIN,@269729 Thanks for reaching out about this. We can certainly understand your concern about your phone battery usage and would like to help. Send us a DM letting us know which country you are located in. __url__,device_issue,False,3.0,Battery Problem
128,my iPhone se is overheating and battery is draining too fast 6 to 8 % within seconds.what should I do?,"@565318 Hi there. We'd love to help out. Shoot us a DM with your version of iOS, it's listed under Settings &gt; General &gt; About &gt; Version. __url__",device_issue,False,3.0,Having a issue with battery 
129,Hey my iPhone worked great until I was forced into downloading your update....now it sucks. Thank you,@543825 We'd like to assist with any issues that you're having with your phone. Click here and provide us with the details in DM: __url__,software_update,False,2.0,IOS update problem 
130,"I'm using iOS 11.1.1 (15B150) I know I should have to fill a radar ticket but I don't have the time, you'll do it for me ? 🙂😉","@572898 We can work on a resolution with you today, no worries. Meet up with us in DM at the link below when you're ready. __url__",general_inquiry,False,2.0,Request to report an iOS bug.
131,iOS 11.0.2 iPhone 7,@183654 Thanks. Let's look into that further. Send us a DM and we'll go from there. __url__,out_of_scope,False,1.0,Fragment
132,whats wrong with your IPhone 7 last update always shut down and 3 phones are dead in my family !!!,@379738 We understand you need to rely on your iPhone and not have it shut down. Are you using a specific app when this happens? Does the iPhone power on again by itself? Send your answers in a DM. __url__,complaint_escalation,True,3.0,3 Phones are dead due to last update
133,The iPhone 8 and X came out and now my 7+ always feels like it's about to explode in my hands. FIX IT __url__,@806805 We are here for you. Let's take a look at this further for you. Reach out to us in DM. __url__,complaint_escalation,False,2.0,Feeling like monile is exploding(Heating)
134,i’d love to have this pos iphone fixed. thanks for the new &amp; improved update that royally fucked it! 🤗,@623040 We'd like to help with any issues you're having. DM us and tell us more about what's happening with your iPhone. __url__,complaint_escalation,True,2.0,Angry complaint about problems after update.
135,I️ shouldn’t have to fix apples mistakes. Also where is my iwatch it was stolen can I️ get help locating it or reporting it stolen,@531070 This article has more details on what to do if you can’t locate your Apple Watch: __url__,general_inquiry,True,2.0,Asking to find the stolen iwatch
136,There is literally no one at that uses the iPad split keyboard. It’s now literally impossible to type a question mark. WTF,@535768 We've got an article to help answer your questions about the iPad split keyboard: __url__ Any questions? DM us: __url__,device_issue,False,2.0,iPad split keyboard question-mark issue.
